GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US130890214132,130890214132,"Block Group 2, Census Tract 214.13, DeKalb County, Georgia",27596,8743
1500000US130890214141,130890214141,"Block Group 1, Census Tract 214.14, DeKalb County, Georgia",36607,3987
1500000US130890214142,130890214142,"Block Group 2, Census Tract 214.14, DeKalb County, Georgia",40667,9552
1500000US130890214151,130890214151,"Block Group 1, Census Tract 214.15, DeKalb County, Georgia",116111,46464
1500000US130890214152,130890214152,"Block Group 2, Census Tract 214.15, DeKalb County, Georgia",62863,19264
1500000US130890214153,130890214153,"Block Group 3, Census Tract 214.15, DeKalb County, Georgia",85625,42839
1500000US130890214161,130890214161,"Block Group 1, Census Tract 214.16, DeKalb County, Georgia",34423,19845
1500000US130890214162,130890214162,"Block Group 2, Census Tract 214.16, DeKalb County, Georgia",86250,18809
1500000US130890214171,130890214171,"Block Group 1, Census Tract 214.17, DeKalb County, Georgia",51120,14053
1500000US130890214172,130890214172,"Block Group 2, Census Tract 214.17, DeKalb County, Georgia",51694,11568
1500000US130890214173,130890214173,"Block Group 3, Census Tract 214.17, DeKalb County, Georgia",32056,5148
1500000US130890215021,130890215021,"Block Group 1, Census Tract 215.02, DeKalb County, Georgia",50378,7694
1500000US130890215022,130890215022,"Block Group 2, Census Tract 215.02, DeKalb County, Georgia",118125,37443
1500000US130890215023,130890215023,"Block Group 3, Census Tract 215.02, DeKalb County, Georgia",55449,15251
1500000US130890215031,130890215031,"Block Group 1, Census Tract 215.03, DeKalb County, Georgia",42575,6661
1500000US130890215032,130890215032,"Block Group 2, Census Tract 215.03, DeKalb County, Georgia",101944,26384
1500000US130890215033,130890215033,"Block Group 3, Census Tract 215.03, DeKalb County, Georgia",33542,9842
1500000US130890215041,130890215041,"Block Group 1, Census Tract 215.04, DeKalb County, Georgia",53125,17181
1500000US130890215042,130890215042,"Block Group 2, Census Tract 215.04, DeKalb County, Georgia",49547,18339
1500000US130890215043,130890215043,"Block Group 3, Census Tract 215.04, DeKalb County, Georgia",68277,28463
1500000US130890216021,130890216021,"Block Group 1, Census Tract 216.02, DeKalb County, Georgia",45078,12660
1500000US130890216022,130890216022,"Block Group 2, Census Tract 216.02, DeKalb County, Georgia",88798,46709
1500000US130890216031,130890216031,"Block Group 1, Census Tract 216.03, DeKalb County, Georgia",49663,43263
1500000US130890216032,130890216032,"Block Group 2, Census Tract 216.03, DeKalb County, Georgia",51933,3722
1500000US130890216033,130890216033,"Block Group 3, Census Tract 216.03, DeKalb County, Georgia",67062,8281
1500000US130890216041,130890216041,"Block Group 1, Census Tract 216.04, DeKalb County, Georgia",126184,59653
1500000US130890216042,130890216042,"Block Group 2, Census Tract 216.04, DeKalb County, Georgia",131094,16381
1500000US130890216051,130890216051,"Block Group 1, Census Tract 216.05, DeKalb County, Georgia",90547,26536
1500000US130890216052,130890216052,"Block Group 2, Census Tract 216.05, DeKalb County, Georgia",137500,23260
1500000US130890216053,130890216053,"Block Group 3, Census Tract 216.05, DeKalb County, Georgia",29622,6192
1500000US130890217031,130890217031,"Block Group 1, Census Tract 217.03, DeKalb County, Georgia",94432,29489
1500000US130890217032,130890217032,"Block Group 2, Census Tract 217.03, DeKalb County, Georgia",153482,28315
1500000US130890217041,130890217041,"Block Group 1, Census Tract 217.04, DeKalb County, Georgia",53476,7730
1500000US130890217042,130890217042,"Block Group 2, Census Tract 217.04, DeKalb County, Georgia",86023,50934
1500000US130890217043,130890217043,"Block Group 3, Census Tract 217.04, DeKalb County, Georgia",133403,27865
1500000US130890217051,130890217051,"Block Group 1, Census Tract 217.05, DeKalb County, Georgia",32258,10436
1500000US130890217052,130890217052,"Block Group 2, Census Tract 217.05, DeKalb County, Georgia",38625,12539
1500000US130890217053,130890217053,"Block Group 3, Census Tract 217.05, DeKalb County, Georgia",40486,11666
1500000US130890217061,130890217061,"Block Group 1, Census Tract 217.06, DeKalb County, Georgia",109063,35899
1500000US130890217062,130890217062,"Block Group 2, Census Tract 217.06, DeKalb County, Georgia",45000,11889
1500000US130890217063,130890217063,"Block Group 3, Census Tract 217.06, DeKalb County, Georgia",130125,34870
1500000US130890217064,130890217064,"Block Group 4, Census Tract 217.06, DeKalb County, Georgia",82321,15676
1500000US130890218051,130890218051,"Block Group 1, Census Tract 218.05, DeKalb County, Georgia",75212,7164
1500000US130890218052,130890218052,"Block Group 2, Census Tract 218.05, DeKalb County, Georgia",50547,8183
1500000US130890218053,130890218053,"Block Group 3, Census Tract 218.05, DeKalb County, Georgia",36667,10331
1500000US130890218061,130890218061,"Block Group 1, Census Tract 218.06, DeKalb County, Georgia",38279,10978
1500000US130890218062,130890218062,"Block Group 2, Census Tract 218.06, DeKalb County, Georgia",73813,12540
1500000US130890218063,130890218063,"Block Group 3, Census Tract 218.06, DeKalb County, Georgia",30712,5072
1500000US130890218081,130890218081,"Block Group 1, Census Tract 218.08, DeKalb County, Georgia",82917,16048
1500000US130890218082,130890218082,"Block Group 2, Census Tract 218.08, DeKalb County, Georgia",52955,9578
1500000US130890218091,130890218091,"Block Group 1, Census Tract 218.09, DeKalb County, Georgia",55000,30344
1500000US130890218092,130890218092,"Block Group 2, Census Tract 218.09, DeKalb County, Georgia",65859,27437
1500000US130890218093,130890218093,"Block Group 3, Census Tract 218.09, DeKalb County, Georgia",113825,6364
1500000US130890218094,130890218094,"Block Group 4, Census Tract 218.09, DeKalb County, Georgia",94904,44151
1500000US130890218095,130890218095,"Block Group 5, Census Tract 218.09, DeKalb County, Georgia",136250,71949
1500000US130890218101,130890218101,"Block Group 1, Census Tract 218.10, DeKalb County, Georgia",55052,14940
1500000US130890218102,130890218102,"Block Group 2, Census Tract 218.10, DeKalb County, Georgia",89815,26154
1500000US130890218103,130890218103,"Block Group 3, Census Tract 218.10, DeKalb County, Georgia",95063,29428
1500000US130890218121,130890218121,"Block Group 1, Census Tract 218.12, DeKalb County, Georgia",61597,18679
1500000US130890218122,130890218122,"Block Group 2, Census Tract 218.12, DeKalb County, Georgia",66250,16928
1500000US130890218131,130890218131,"Block Group 1, Census Tract 218.13, DeKalb County, Georgia",33418,6374
1500000US130890218141,130890218141,"Block Group 1, Census Tract 218.14, DeKalb County, Georgia",35826,7954
1500000US130890218142,130890218142,"Block Group 2, Census Tract 218.14, DeKalb County, Georgia",58977,28984
1500000US130890218143,130890218143,"Block Group 3, Census Tract 218.14, DeKalb County, Georgia",30189,8329
1500000US130890218144,130890218144,"Block Group 4, Census Tract 218.14, DeKalb County, Georgia",21164,4760
1500000US130890219061,130890219061,"Block Group 1, Census Tract 219.06, DeKalb County, Georgia",55357,33166
1500000US130890219062,130890219062,"Block Group 2, Census Tract 219.06, DeKalb County, Georgia",30128,6949
1500000US130890219063,130890219063,"Block Group 3, Census Tract 219.06, DeKalb County, Georgia",39968,6273
1500000US130890219071,130890219071,"Block Group 1, Census Tract 219.07, DeKalb County, Georgia",78810,11768
1500000US130890219072,130890219072,"Block Group 2, Census Tract 219.07, DeKalb County, Georgia",52286,19282
1500000US130890219073,130890219073,"Block Group 3, Census Tract 219.07, DeKalb County, Georgia",29323,9194
1500000US130890219081,130890219081,"Block Group 1, Census Tract 219.08, DeKalb County, Georgia",36719,27248
1500000US130890219082,130890219082,"Block Group 2, Census Tract 219.08, DeKalb County, Georgia",31144,9555
1500000US130890219091,130890219091,"Block Group 1, Census Tract 219.09, DeKalb County, Georgia",35511,10348
1500000US130890219093,130890219093,"Block Group 3, Census Tract 219.09, DeKalb County, Georgia",32687,8004
1500000US130890219094,130890219094,"Block Group 4, Census Tract 219.09, DeKalb County, Georgia",35517,12129
1500000US130890219101,130890219101,"Block Group 1, Census Tract 219.10, DeKalb County, Georgia",38448,10378
1500000US130890219102,130890219102,"Block Group 2, Census Tract 219.10, DeKalb County, Georgia",72292,42740
1500000US130890219103,130890219103,"Block Group 3, Census Tract 219.10, DeKalb County, Georgia",40179,7112
1500000US130890219111,130890219111,"Block Group 1, Census Tract 219.11, DeKalb County, Georgia",21909,5780
1500000US130890219112,130890219112,"Block Group 2, Census Tract 219.11, DeKalb County, Georgia",20720,3545
1500000US130890219121,130890219121,"Block Group 1, Census Tract 219.12, DeKalb County, Georgia",81071,67008
1500000US130890219122,130890219122,"Block Group 2, Census Tract 219.12, DeKalb County, Georgia",111250,26577
1500000US130890219123,130890219123,"Block Group 3, Census Tract 219.12, DeKalb County, Georgia",123750,59675
1500000US130890219131,130890219131,"Block Group 1, Census Tract 219.13, DeKalb County, Georgia",27353,5675
1500000US130890219132,130890219132,"Block Group 2, Census Tract 219.13, DeKalb County, Georgia",34098,3018
1500000US130890219133,130890219133,"Block Group 3, Census Tract 219.13, DeKalb County, Georgia",25747,2513
1500000US130890220011,130890220011,"Block Group 1, Census Tract 220.01, DeKalb County, Georgia",65905,4792
1500000US130890220012,130890220012,"Block Group 2, Census Tract 220.01, DeKalb County, Georgia",66406,10424
1500000US130890220041,130890220041,"Block Group 1, Census Tract 220.04, DeKalb County, Georgia",47639,12550
1500000US130890220042,130890220042,"Block Group 2, Census Tract 220.04, DeKalb County, Georgia",48333,13853
1500000US130890220043,130890220043,"Block Group 3, Census Tract 220.04, DeKalb County, Georgia",55559,9418
1500000US130890220051,130890220051,"Block Group 1, Census Tract 220.05, DeKalb County, Georgia",41573,11690
1500000US130890220052,130890220052,"Block Group 2, Census Tract 220.05, DeKalb County, Georgia",29750,4645
1500000US130890220053,130890220053,"Block Group 3, Census Tract 220.05, DeKalb County, Georgia",31176,10389
1500000US130890220071,130890220071,"Block Group 1, Census Tract 220.07, DeKalb County, Georgia",32372,6050
1500000US130890220072,130890220072,"Block Group 2, Census Tract 220.07, DeKalb County, Georgia",26117,4815
1500000US130890220081,130890220081,"Block Group 1, Census Tract 220.08, DeKalb County, Georgia",53150,29082
1500000US130890220082,130890220082,"Block Group 2, Census Tract 220.08, DeKalb County, Georgia",28485,10627
1500000US130890220083,130890220083,"Block Group 3, Census Tract 220.08, DeKalb County, Georgia",19270,3788
1500000US130890220084,130890220084,"Block Group 4, Census Tract 220.08, DeKalb County, Georgia",30852,8460
1500000US130890220091,130890220091,"Block Group 1, Census Tract 220.09, DeKalb County, Georgia",38622,11188
1500000US130890220092,130890220092,"Block Group 2, Census Tract 220.09, DeKalb County, Georgia",36156,8494
1500000US130890220093,130890220093,"Block Group 3, Census Tract 220.09, DeKalb County, Georgia",33438,8753
1500000US130890220101,130890220101,"Block Group 1, Census Tract 220.10, DeKalb County, Georgia",41538,3553
1500000US130890221001,130890221001,"Block Group 1, Census Tract 221, DeKalb County, Georgia",35517,6972
1500000US130890221002,130890221002,"Block Group 2, Census Tract 221, DeKalb County, Georgia",31597,12364
1500000US130890222031,130890222031,"Block Group 1, Census Tract 222.03, DeKalb County, Georgia",47026,8441
1500000US130890222041,130890222041,"Block Group 1, Census Tract 222.04, DeKalb County, Georgia",41063,18145
1500000US130890222042,130890222042,"Block Group 2, Census Tract 222.04, DeKalb County, Georgia",49268,18236
1500000US130890222043,130890222043,"Block Group 3, Census Tract 222.04, DeKalb County, Georgia",42328,27581
1500000US130890222044,130890222044,"Block Group 4, Census Tract 222.04, DeKalb County, Georgia",33682,22125
1500000US130890223011,130890223011,"Block Group 1, Census Tract 223.01, DeKalb County, Georgia",65962,3885
1500000US130890223012,130890223012,"Block Group 2, Census Tract 223.01, DeKalb County, Georgia",20529,6474
1500000US130890223013,130890223013,"Block Group 3, Census Tract 223.01, DeKalb County, Georgia",69818,6353
1500000US130890223014,130890223014,"Block Group 4, Census Tract 223.01, DeKalb County, Georgia",111563,31573
1500000US130890223015,130890223015,"Block Group 5, Census Tract 223.01, DeKalb County, Georgia",31042,16897
1500000US130890223021,130890223021,"Block Group 1, Census Tract 223.02, DeKalb County, Georgia",81923,21593
1500000US130890223022,130890223022,"Block Group 2, Census Tract 223.02, DeKalb County, Georgia",41576,35932
1500000US130890223023,130890223023,"Block Group 3, Census Tract 223.02, DeKalb County, Georgia",71484,22433
1500000US130890224011,130890224011,"Block Group 1, Census Tract 224.01, DeKalb County, Georgia",61875,12197
1500000US130890224013,130890224013,"Block Group 3, Census Tract 224.01, DeKalb County, Georgia",122083,34723
1500000US130890224021,130890224021,"Block Group 1, Census Tract 224.02, DeKalb County, Georgia",46645,11686
1500000US130890224022,130890224022,"Block Group 2, Census Tract 224.02, DeKalb County, Georgia",30677,12344
1500000US130890224031,130890224031,"Block Group 1, Census Tract 224.03, DeKalb County, Georgia",145781,36244
1500000US130890224032,130890224032,"Block Group 2, Census Tract 224.03, DeKalb County, Georgia",115375,41024
1500000US130890224033,130890224033,"Block Group 3, Census Tract 224.03, DeKalb County, Georgia",161250,64619
1500000US130890225001,130890225001,"Block Group 1, Census Tract 225, DeKalb County, Georgia",15042,12449
1500000US130890225002,130890225002,"Block Group 2, Census Tract 225, DeKalb County, Georgia",108833,49611
1500000US130890225003,130890225003,"Block Group 3, Census Tract 225, DeKalb County, Georgia",116250,37542
1500000US130890225004,130890225004,"Block Group 4, Census Tract 225, DeKalb County, Georgia",111944,29750
1500000US130890226001,130890226001,"Block Group 1, Census Tract 226, DeKalb County, Georgia",105300,26811
1500000US130890226002,130890226002,"Block Group 2, Census Tract 226, DeKalb County, Georgia",65784,10077
1500000US130890226003,130890226003,"Block Group 3, Census Tract 226, DeKalb County, Georgia",70345,15492
1500000US130890227001,130890227001,"Block Group 1, Census Tract 227, DeKalb County, Georgia",113370,15503
1500000US130890227002,130890227002,"Block Group 2, Census Tract 227, DeKalb County, Georgia",96094,25698
1500000US130890227003,130890227003,"Block Group 3, Census Tract 227, DeKalb County, Georgia",59318,21034
1500000US130890228001,130890228001,"Block Group 1, Census Tract 228, DeKalb County, Georgia",86136,57296
1500000US130890228002,130890228002,"Block Group 2, Census Tract 228, DeKalb County, Georgia",88500,25259
1500000US130890228003,130890228003,"Block Group 3, Census Tract 228, DeKalb County, Georgia",109028,22680
1500000US130890229001,130890229001,"Block Group 1, Census Tract 229, DeKalb County, Georgia",70771,4942
1500000US130890229002,130890229002,"Block Group 2, Census Tract 229, DeKalb County, Georgia",74750,8999
1500000US130890229003,130890229003,"Block Group 3, Census Tract 229, DeKalb County, Georgia",65385,13508
1500000US130890230001,130890230001,"Block Group 1, Census Tract 230, DeKalb County, Georgia",61979,8419
1500000US130890231011,130890231011,"Block Group 1, Census Tract 231.01, DeKalb County, Georgia",69306,29958
1500000US130890231012,130890231012,"Block Group 2, Census Tract 231.01, DeKalb County, Georgia",36691,10075
1500000US130890231013,130890231013,"Block Group 3, Census Tract 231.01, DeKalb County, Georgia",45667,14489
1500000US130890231014,130890231014,"Block Group 4, Census Tract 231.01, DeKalb County, Georgia",41452,12132
1500000US130890231021,130890231021,"Block Group 1, Census Tract 231.02, DeKalb County, Georgia",58403,20752
1500000US130890231022,130890231022,"Block Group 2, Census Tract 231.02, DeKalb County, Georgia",37066,4230
1500000US130890231071,130890231071,"Block Group 1, Census Tract 231.07, DeKalb County, Georgia",47823,10243
1500000US130890231072,130890231072,"Block Group 2, Census Tract 231.07, DeKalb County, Georgia",31250,8430
1500000US130890231073,130890231073,"Block Group 3, Census Tract 231.07, DeKalb County, Georgia",25179,12124
1500000US130890231081,130890231081,"Block Group 1, Census Tract 231.08, DeKalb County, Georgia",32670,12031
1500000US130890231082,130890231082,"Block Group 2, Census Tract 231.08, DeKalb County, Georgia",30472,7355
1500000US130890231083,130890231083,"Block Group 3, Census Tract 231.08, DeKalb County, Georgia",30000,16233
