GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,,,,,,,,,,,,,,,,,,
Id,Id2,Geography,Estimate, Total:,Margin of Error, Total:,Estimate, Total: - White alone,Margin of Error, Total: - White alone,Estimate, Total: - Black or African American alone,Margin of Error, Total: - Black or African American alone,Estimate, Total: - American Indian and Alaska Native alone,Margin of Error, Total: - American Indian and Alaska Native alone,Estimate, Total: - Asian alone,Margin of Error, Total: - Asian alone,Estimate, Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error, Total: - Native Hawaiian and Other Pacific Islander alone,Estimate, Total: - Some other race alone,Margin of Error, Total: - Some other race alone,Estimate, Total: - Two or more races:,Margin of Error, Total: - Two or more races:,Estimate, Total: - Two or more races: - Two races including Some other race,Margin of Error, Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US130890212081,130890212081,"Block Group 1, Census Tract 212.08, DeKalb County, Georgia",2432,392,1454,277,402,150,220,305,94,71,0,13,90,107,172,151,0,13,172,151,,,,,,,,,,,,,,,,,,
1500000US130890212082,130890212082,"Block Group 2, Census Tract 212.08, DeKalb County, Georgia",1600,240,1098,229,58,73,0,13,394,95,0,13,0,13,50,43,0,13,50,43,,,,,,,,,,,,,,,,,,
1500000US130890212091,130890212091,"Block Group 1, Census Tract 212.09, DeKalb County, Georgia",1167,337,829,282,107,87,0,13,231,241,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890212092,130890212092,"Block Group 2, Census Tract 212.09, DeKalb County, Georgia",1516,299,1151,273,155,118,0,13,149,134,0,13,0,13,61,52,22,33,39,47,,,,,,,,,,,,,,,,,,
1500000US130890212093,130890212093,"Block Group 3, Census Tract 212.09, DeKalb County, Georgia",2041,310,1338,247,224,142,29,42,369,162,33,66,0,13,48,62,0,13,48,62,,,,,,,,,,,,,,,,,,
1500000US130890212094,130890212094,"Block Group 4, Census Tract 212.09, DeKalb County, Georgia",1173,232,989,235,46,70,0,13,62,72,0,13,64,99,12,19,0,13,12,19,,,,,,,,,,,,,,,,,,
1500000US130890212101,130890212101,"Block Group 1, Census Tract 212.10, DeKalb County, Georgia",1813,285,1563,222,75,52,0,13,175,137,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890212102,130890212102,"Block Group 2, Census Tract 212.10, DeKalb County, Georgia",1207,284,1105,260,7,10,0,13,82,115,0,13,0,13,13,23,0,13,13,23,,,,,,,,,,,,,,,,,,
1500000US130890212103,130890212103,"Block Group 3, Census Tract 212.10, DeKalb County, Georgia",2498,320,2244,276,13,17,22,25,138,131,0,13,23,37,58,69,0,13,58,69,,,,,,,,,,,,,,,,,,
1500000US130890212111,130890212111,"Block Group 1, Census Tract 212.11, DeKalb County, Georgia",1323,219,1227,206,36,58,0,13,60,88,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890212112,130890212112,"Block Group 2, Census Tract 212.11, DeKalb County, Georgia",2110,380,1623,251,106,148,0,13,289,191,8,18,20,31,64,81,0,13,64,81,,,,,,,,,,,,,,,,,,
1500000US130890212113,130890212113,"Block Group 3, Census Tract 212.11, DeKalb County, Georgia",1349,216,1201,204,34,42,0,13,93,73,0,13,8,12,13,22,0,13,13,22,,,,,,,,,,,,,,,,,,
1500000US130890212131,130890212131,"Block Group 1, Census Tract 212.13, DeKalb County, Georgia",1076,179,980,170,0,13,0,13,96,90,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890212132,130890212132,"Block Group 2, Census Tract 212.13, DeKalb County, Georgia",2379,180,2348,179,0,13,0,13,31,37,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890212141,130890212141,"Block Group 1, Census Tract 212.14, DeKalb County, Georgia",1801,492,1567,537,64,102,0,13,170,164,0,13,0,13,0,13,0,13,0,13,,,,,,,,,,,,,,,,,,
1500000US130890212142,130890212142,"Block Group 2, Census Tract 212.14, DeKalb County, Georgia",3002,408,2698,390,79,87,0,13,215,128,0,13,0,13,10,17,0,13,10,17,,,,,,,,,,,,,,,,,,
1500000US130890212143,130890212143,"Block Group 3, Census Tract 212.14, DeKalb County, Georgia",1529,345,1410,376,0,13,0,13,37,47,0,13,0,13,82,137,0,13,82,137,,,,,,,,,,,,,,,,,,
1500000US130890212151,130890212151,"Block Group 1, Census Tract 212.15, DeKalb County, Georgia",3401,533,1714,424,245,190,0,13,1411,442,0,13,23,37,8,32,0,13,8,32,,,,,,,,,,,,,,,,,,
1500000US130890212152,130890212152,"Block Group 2, Census Tract 212.15, DeKalb County, Georgia",2544,456,1131,434,194,208,17,29,1149,447,0,13,0,13,53,73,0,13,53,73,,,,,,,,,,,,,,,,,,
1500000US130890212161,130890212161,"Block Group 1, Census Tract 212.16, DeKalb County, Georgia",1876,512,1662,543,0,13,0,13,111,180,0,13,0,13,103,157,0,13,103,157,,,,,,,,,,,,,,,,,,
1500000US130890212162,130890212162,"Block Group 2, Census Tract 212.16, DeKalb County, Georgia",3807,766,2301,521,705,522,0,13,628,348,0,13,0,13,173,208,0,13,173,208,,,,,,,,,,,,,,,,,,
1500000US130890212163,130890212163,"Block Group 3, Census Tract 212.16, DeKalb County, Georgia",2857,545,1479,370,710,329,0,13,608,355,0,13,27,45,33,40,11,19,22,36,,,,,,,,,,,,,,,,,,
1500000US130890212171,130890212171,"Block Group 1, Census Tract 212.17, DeKalb County, Georgia",2466,284,1641,354,415,153,7,10,305,311,0,13,0,13,98,76,0,13,98,76,,,,,,,,,,,,,,,,,,
