Id,Id2,Geography,Median
1500000US130890214151,130890214151,"Block Group 1, Census Tract 214.15, DeKalb County, Georgia",116111
1500000US130890214152,130890214152,"Block Group 2, Census Tract 214.15, DeKalb County, Georgia",62863
1500000US130890214153,130890214153,"Block Group 3, Census Tract 214.15, DeKalb County, Georgia",85625
1500000US130890214161,130890214161,"Block Group 1, Census Tract 214.16, DeKalb County, Georgia",34423
1500000US130890214162,130890214162,"Block Group 2, Census Tract 214.16, DeKalb County, Georgia",86250
1500000US130890214171,130890214171,"Block Group 1, Census Tract 214.17, DeKalb County, Georgia",51120
1500000US130890214172,130890214172,"Block Group 2, Census Tract 214.17, DeKalb County, Georgia",51694
1500000US130890214173,130890214173,"Block Group 3, Census Tract 214.17, DeKalb County, Georgia",32056
1500000US130890215021,130890215021,"Block Group 1, Census Tract 215.02, DeKalb County, Georgia",50378
1500000US130890215022,130890215022,"Block Group 2, Census Tract 215.02, DeKalb County, Georgia",118125
1500000US130890215023,130890215023,"Block Group 3, Census Tract 215.02, DeKalb County, Georgia",55449
1500000US130890215031,130890215031,"Block Group 1, Census Tract 215.03, DeKalb County, Georgia",42575
1500000US130890215032,130890215032,"Block Group 2, Census Tract 215.03, DeKalb County, Georgia",101944
1500000US130890215033,130890215033,"Block Group 3, Census Tract 215.03, DeKalb County, Georgia",33542
1500000US130890215041,130890215041,"Block Group 1, Census Tract 215.04, DeKalb County, Georgia",53125
1500000US130890215042,130890215042,"Block Group 2, Census Tract 215.04, DeKalb County, Georgia",49547
1500000US130890215043,130890215043,"Block Group 3, Census Tract 215.04, DeKalb County, Georgia",68277
1500000US130890216021,130890216021,"Block Group 1, Census Tract 216.02, DeKalb County, Georgia",45078
1500000US130890216022,130890216022,"Block Group 2, Census Tract 216.02, DeKalb County, Georgia",88798
1500000US130890216031,130890216031,"Block Group 1, Census Tract 216.03, DeKalb County, Georgia",49663
1500000US130890216032,130890216032,"Block Group 2, Census Tract 216.03, DeKalb County, Georgia",51933
1500000US130890216033,130890216033,"Block Group 3, Census Tract 216.03, DeKalb County, Georgia",67062
1500000US130890216041,130890216041,"Block Group 1, Census Tract 216.04, DeKalb County, Georgia",126184
1500000US130890216042,130890216042,"Block Group 2, Census Tract 216.04, DeKalb County, Georgia",131094
1500000US130890216051,130890216051,"Block Group 1, Census Tract 216.05, DeKalb County, Georgia",90547
1500000US130890216052,130890216052,"Block Group 2, Census Tract 216.05, DeKalb County, Georgia",137500
1500000US130890216053,130890216053,"Block Group 3, Census Tract 216.05, DeKalb County, Georgia",29622
1500000US130890217031,130890217031,"Block Group 1, Census Tract 217.03, DeKalb County, Georgia",94432
