Id,Id2,Geography,Estimate,White,Black,Other
1500000US130890217031,130890217031,"Block Group 1, Census Tract 217.03, DeKalb County, Georgia",2409,1871,80,458
1500000US130890217032,130890217032,"Block Group 2, Census Tract 217.03, DeKalb County, Georgia",2479,2291,24,164
1500000US130890217041,130890217041,"Block Group 1, Census Tract 217.04, DeKalb County, Georgia",1577,975,132,470
1500000US130890217042,130890217042,"Block Group 2, Census Tract 217.04, DeKalb County, Georgia",1123,919,80,124
1500000US130890217043,130890217043,"Block Group 3, Census Tract 217.04, DeKalb County, Georgia",2877,2343,64,470
1500000US130890217051,130890217051,"Block Group 1, Census Tract 217.05, DeKalb County, Georgia",2152,901,920,331
1500000US130890217052,130890217052,"Block Group 2, Census Tract 217.05, DeKalb County, Georgia",1262,725,52,485
1500000US130890217053,130890217053,"Block Group 3, Census Tract 217.05, DeKalb County, Georgia",1317,517,460,340
1500000US130890217061,130890217061,"Block Group 1, Census Tract 217.06, DeKalb County, Georgia",787,635,47,105
1500000US130890217062,130890217062,"Block Group 2, Census Tract 217.06, DeKalb County, Georgia",2192,1206,526,460
1500000US130890217063,130890217063,"Block Group 3, Census Tract 217.06, DeKalb County, Georgia",1072,809,79,184
1500000US130890217064,130890217064,"Block Group 4, Census Tract 217.06, DeKalb County, Georgia",1530,1068,234,228
1500000US130890218051,130890218051,"Block Group 1, Census Tract 218.05, DeKalb County, Georgia",1864,1323,218,323
1500000US130890218052,130890218052,"Block Group 2, Census Tract 218.05, DeKalb County, Georgia",1883,966,561,356
1500000US130890218053,130890218053,"Block Group 3, Census Tract 218.05, DeKalb County, Georgia",2665,1132,1042,491
1500000US130890218061,130890218061,"Block Group 1, Census Tract 218.06, DeKalb County, Georgia",2491,731,1214,546
1500000US130890218062,130890218062,"Block Group 2, Census Tract 218.06, DeKalb County, Georgia",1074,795,111,168
1500000US130890218063,130890218063,"Block Group 3, Census Tract 218.06, DeKalb County, Georgia",2228,681,1177,370
1500000US130890218081,130890218081,"Block Group 1, Census Tract 218.08, DeKalb County, Georgia",1706,1375,118,213
1500000US130890218082,130890218082,"Block Group 2, Census Tract 218.08, DeKalb County, Georgia",3293,2052,658,583
1500000US130890218091,130890218091,"Block Group 1, Census Tract 218.09, DeKalb County, Georgia",535,474,61,0
1500000US130890218092,130890218092,"Block Group 2, Census Tract 218.09, DeKalb County, Georgia",1678,1297,334,47
1500000US130890218093,130890218093,"Block Group 3, Census Tract 218.09, DeKalb County, Georgia",1888,1608,122,158
1500000US130890218094,130890218094,"Block Group 4, Census Tract 218.09, DeKalb County, Georgia",1367,897,187,283
1500000US130890218095,130890218095,"Block Group 5, Census Tract 218.09, DeKalb County, Georgia",1210,1162,0,48
1500000US130890218101,130890218101,"Block Group 1, Census Tract 218.10, DeKalb County, Georgia",2190,826,1183,181
1500000US130890218102,130890218102,"Block Group 2, Census Tract 218.10, DeKalb County, Georgia",1319,1152,43,124
