Precinct,Voters,PeterAman,RohitAmmanamanchi,KeishaLanceBottoms,JohnEaves,VincentFort,KwanzaHall,CeasarMitchell,MaryNorwood,MichaelSterling,CathyWoolard,GlennWrightson,Votes
04A,1061,5,0,129,3,40,14,30,32,0,4,0,257
04B,2062,6,2,137,5,45,13,53,31,1,15,1,309
04C,124,1,0,16,0,0,2,3,6,0,0,0,28
04D,1390,3,1,194,1,73,19,55,49,1,5,0,401
04F,1934,19,1,141,3,35,24,77,40,2,51,0,393
04G,768,0,0,62,1,20,9,12,16,0,3,0,123
04I,2941,9,0,63,0,23,18,24,36,0,42,0,215
04J,1212,2,1,33,1,10,4,13,3,0,0,0,67
04K,2146,6,1,226,10,143,36,145,36,0,44,2,649
04L,1474,8,0,146,5,82,20,127,32,1,31,0,452
04M,710,1,0,67,2,23,15,16,13,0,3,0,140
04S,2015,5,1,300,7,92,60,78,75,0,8,0,626
04T,1038,0,1,127,6,64,28,39,27,0,3,1,296
04V,2573,6,1,204,2,72,32,70,29,3,5,0,424
04W,1843,0,0,35,3,7,9,19,1,0,0,0,74
04X1,1756,8,0,241,5,74,42,60,49,0,25,0,504
04X2,680,2,0,60,1,26,9,21,19,0,8,0,146
05A1,2279,69,4,89,1,100,46,41,74,2,498,4,928
05A2,2492,65,3,165,7,142,42,88,77,0,423,1,1013
05B,1592,16,1,166,5,61,40,32,39,1,53,0,414
05C,138,0,0,7,0,1,1,0,3,0,1,0,13
05D,319,0,0,5,1,3,1,1,0,0,2,0,13
05F,171,1,0,13,0,3,4,6,2,0,8,0,37
05J,562,13,1,50,2,24,31,21,28,0,51,0,221
05K,2426,21,3,115,1,87,52,39,36,0,48,0,402
06B,1609,90,2,46,10,29,12,17,122,0,277,2,607
06D,7759,649,7,238,26,114,51,118,764,1,1134,4,3106
06E,2045,81,1,72,5,33,15,25,198,1,211,1,643
06F,2495,152,6,100,7,88,43,37,159,0,354,3,949
06G,489,33,1,25,0,19,10,8,47,0,72,0,215
06I,2858,37,3,164,7,35,29,45,70,1,79,0,470
06J,2325,169,1,51,9,35,14,30,280,1,427,3,1020
06L1,862,131,0,17,6,10,6,25,125,1,126,0,447
06L2,605,74,0,11,43,4,1,8,97,0,77,0,315
06N,1829,200,0,67,3,20,10,14,206,0,58,0,578
06Q,477,5,0,29,1,7,1,11,6,1,16,0,77
06R,1640,180,0,57,7,27,10,28,201,0,215,0,725
07A,5853,471,3,204,25,38,23,85,580,2,114,2,1547
07B,2642,420,1,46,9,18,10,20,500,0,52,0,1076
