Id,Id2,Geography,Total,Male,Myoung,Mmid,Mold,Female,Fyoung,Fmid,Fold,Young,Mid,Old
1500000US130890218092,130890218092,"Block Group 2, Census Tract 218.09, DeKalb County, Georgia",1678,914,263,274,104,764,162,356,100,425,630,204
1500000US130890218093,130890218093,"Block Group 3, Census Tract 218.09, DeKalb County, Georgia",1888,881,239,296,158,1007,285,336,138,524,632,296
1500000US130890218094,130890218094,"Block Group 4, Census Tract 218.09, DeKalb County, Georgia",1367,550,52,230,118,817,106,268,218,158,498,336
1500000US130890218095,130890218095,"Block Group 5, Census Tract 218.09, DeKalb County, Georgia",1210,611,124,194,146,599,143,210,174,267,404,320
1500000US130890218101,130890218101,"Block Group 1, Census Tract 218.10, DeKalb County, Georgia",2190,918,394,366,30,1272,763,197,176,1157,563,206
1500000US130890218102,130890218102,"Block Group 2, Census Tract 218.10, DeKalb County, Georgia",1319,615,91,328,77,704,138,262,123,229,590,200
1500000US130890218103,130890218103,"Block Group 3, Census Tract 218.10, DeKalb County, Georgia",1639,679,154,232,228,960,119,364,291,273,596,519
1500000US130890218121,130890218121,"Block Group 1, Census Tract 218.12, DeKalb County, Georgia",983,406,87,166,52,577,177,157,122,264,323,174
1500000US130890218122,130890218122,"Block Group 2, Census Tract 218.12, DeKalb County, Georgia",1291,703,213,233,73,588,168,204,91,381,437,164
1500000US130890218131,130890218131,"Block Group 1, Census Tract 218.13, DeKalb County, Georgia",2859,1622,938,155,0,1237,699,241,0,1637,396,0
1500000US130890218141,130890218141,"Block Group 1, Census Tract 218.14, DeKalb County, Georgia",1045,568,155,235,33,477,159,241,77,314,476,110
1500000US130890218142,130890218142,"Block Group 2, Census Tract 218.14, DeKalb County, Georgia",1397,872,390,182,73,525,198,89,39,588,271,112
1500000US130890218143,130890218143,"Block Group 3, Census Tract 218.14, DeKalb County, Georgia",1339,675,315,185,0,664,321,184,0,636,369,0
1500000US130890218144,130890218144,"Block Group 4, Census Tract 218.14, DeKalb County, Georgia",1870,1081,573,245,11,789,341,255,22,914,500,33
1500000US130890219061,130890219061,"Block Group 1, Census Tract 219.06, DeKalb County, Georgia",1659,868,228,371,97,791,216,356,122,444,727,219
1500000US130890219062,130890219062,"Block Group 2, Census Tract 219.06, DeKalb County, Georgia",758,346,198,80,21,412,163,171,31,361,251,52
1500000US130890219063,130890219063,"Block Group 3, Census Tract 219.06, DeKalb County, Georgia",2824,1191,330,404,62,1633,530,502,124,860,906,186
1500000US130890219071,130890219071,"Block Group 1, Census Tract 219.07, DeKalb County, Georgia",4875,1928,604,727,206,2947,576,1146,556,1180,1873,762
1500000US130890219072,130890219072,"Block Group 2, Census Tract 219.07, DeKalb County, Georgia",2217,914,232,415,137,1303,327,564,145,559,979,282
1500000US130890219073,130890219073,"Block Group 3, Census Tract 219.07, DeKalb County, Georgia",1883,868,217,393,119,1015,212,416,149,429,809,268
1500000US130890219081,130890219081,"Block Group 1, Census Tract 219.08, DeKalb County, Georgia",1943,815,272,214,23,1128,311,336,139,583,550,162
1500000US130890219082,130890219082,"Block Group 2, Census Tract 219.08, DeKalb County, Georgia",4193,1680,430,625,64,2513,768,651,282,1198,1276,346
1500000US130890219091,130890219091,"Block Group 1, Census Tract 219.09, DeKalb County, Georgia",2234,991,473,237,29,1243,479,333,65,952,570,94
1500000US130890219092,130890219092,"Block Group 2, Census Tract 219.09, DeKalb County, Georgia",1609,962,415,208,56,647,165,324,55,580,532,111
1500000US130890219093,130890219093,"Block Group 3, Census Tract 219.09, DeKalb County, Georgia",1013,460,177,28,15,553,317,146,0,494,174,15
1500000US130890219094,130890219094,"Block Group 4, Census Tract 219.09, DeKalb County, Georgia",1755,826,338,133,109,929,385,403,36,723,536,145
1500000US130890219101,130890219101,"Block Group 1, Census Tract 219.10, DeKalb County, Georgia",1341,767,320,97,10,574,300,203,0,620,300,10
1500000US130890219102,130890219102,"Block Group 2, Census Tract 219.10, DeKalb County, Georgia",1796,777,206,196,200,1019,261,398,145,467,594,345
1500000US130890219103,130890219103,"Block Group 3, Census Tract 219.10, DeKalb County, Georgia",1683,852,196,345,32,831,224,372,95,420,717,127
1500000US130890219111,130890219111,"Block Group 1, Census Tract 219.11, DeKalb County, Georgia",816,376,140,72,0,440,94,197,0,234,269,0
1500000US130890219112,130890219112,"Block Group 2, Census Tract 219.11, DeKalb County, Georgia",1373,632,310,125,5,741,329,184,17,639,309,22
1500000US130890219121,130890219121,"Block Group 1, Census Tract 219.12, DeKalb County, Georgia",1451,653,117,344,115,798,123,288,114,240,632,229
1500000US130890219122,130890219122,"Block Group 2, Census Tract 219.12, DeKalb County, Georgia",1364,716,133,256,201,648,97,234,251,230,490,452
1500000US130890219123,130890219123,"Block Group 3, Census Tract 219.12, DeKalb County, Georgia",644,296,43,182,50,348,18,200,82,61,382,132
1500000US130890219131,130890219131,"Block Group 1, Census Tract 219.13, DeKalb County, Georgia",2554,1183,377,320,34,1371,615,223,92,992,543,126
1500000US130890219132,130890219132,"Block Group 2, Census Tract 219.13, DeKalb County, Georgia",848,395,209,101,0,453,293,124,0,502,225,0
1500000US130890219133,130890219133,"Block Group 3, Census Tract 219.13, DeKalb County, Georgia",1243,617,199,148,0,626,246,216,6,445,364,6
1500000US130890220011,130890220011,"Block Group 1, Census Tract 220.01, DeKalb County, Georgia",2018,1028,357,312,152,990,316,337,219,673,649,371
1500000US130890220012,130890220012,"Block Group 2, Census Tract 220.01, DeKalb County, Georgia",2321,1154,431,514,63,1167,353,533,142,784,1047,205
1500000US130890220041,130890220041,"Block Group 1, Census Tract 220.04, DeKalb County, Georgia",2668,1375,405,387,102,1293,535,292,131,940,679,233
1500000US130890220042,130890220042,"Block Group 2, Census Tract 220.04, DeKalb County, Georgia",1381,574,128,135,133,807,215,275,97,343,410,230
1500000US130890220043,130890220043,"Block Group 3, Census Tract 220.04, DeKalb County, Georgia",1977,935,332,346,48,1042,334,315,165,666,661,213
1500000US130890220051,130890220051,"Block Group 1, Census Tract 220.05, DeKalb County, Georgia",1727,809,282,254,4,918,297,255,65,579,509,69
1500000US130890220052,130890220052,"Block Group 2, Census Tract 220.05, DeKalb County, Georgia",1128,552,199,227,17,576,120,237,71,319,464,88
1500000US130890220053,130890220053,"Block Group 3, Census Tract 220.05, DeKalb County, Georgia",1736,844,358,231,78,892,228,327,96,586,558,174
1500000US130890220071,130890220071,"Block Group 1, Census Tract 220.07, DeKalb County, Georgia",2254,1070,432,210,73,1184,369,275,18,801,485,91
1500000US130890220072,130890220072,"Block Group 2, Census Tract 220.07, DeKalb County, Georgia",1850,1150,525,303,65,700,275,215,84,800,518,149
1500000US130890220081,130890220081,"Block Group 1, Census Tract 220.08, DeKalb County, Georgia",1057,436,191,221,24,621,144,210,26,335,431,50
1500000US130890220082,130890220082,"Block Group 2, Census Tract 220.08, DeKalb County, Georgia",2580,1455,575,335,57,1125,424,225,111,999,560,168
1500000US130890220083,130890220083,"Block Group 3, Census Tract 220.08, DeKalb County, Georgia",3693,1450,426,341,171,2243,766,509,188,1192,850,359
1500000US130890220084,130890220084,"Block Group 4, Census Tract 220.08, DeKalb County, Georgia",1037,563,74,133,80,474,188,85,18,262,218,98
1500000US130890220091,130890220091,"Block Group 1, Census Tract 220.09, DeKalb County, Georgia",1844,826,472,154,0,1018,466,308,24,938,462,24
1500000US130890220092,130890220092,"Block Group 2, Census Tract 220.09, DeKalb County, Georgia",1905,904,308,288,14,1001,315,331,29,623,619,43
1500000US130890220093,130890220093,"Block Group 3, Census Tract 220.09, DeKalb County, Georgia",1341,546,212,155,0,795,483,122,0,695,277,0
1500000US130890220101,130890220101,"Block Group 1, Census Tract 220.10, DeKalb County, Georgia",2669,1292,365,370,103,1377,491,412,119,856,782,222
1500000US130890221001,130890221001,"Block Group 1, Census Tract 221, DeKalb County, Georgia",2090,960,324,174,23,1130,487,170,69,811,344,92
1500000US130890221002,130890221002,"Block Group 2, Census Tract 221, DeKalb County, Georgia",1511,665,141,254,113,846,286,256,92,427,510,205
